time,Q1,Q2,TC1,TC2
494.52,10.216,32.197,55.083,46.285
497.53,10.216,32.197,54.594,45.308
500.53,10.216,32.197,54.594,44.819
503.53,10.216,32.197,54.106,45.797
506.53,72.692,32.197,54.106,44.819
509.53,72.692,32.197,53.617,44.819
512.53,72.692,32.197,53.617,44.819
515.53,72.692,32.197,53.617,44.33
518.54,72.692,32.197,53.128,44.33
521.53,72.692,64.132,53.128,45.308
524.53,72.692,64.132,53.617,44.33
527.53,72.692,64.132,53.617,44.33
530.52,72.692,64.132,54.106,44.819
533.51,72.692,64.132,53.617,44.819
536.5,38.289,64.132,54.106,44.819
539.5,38.289,64.132,54.106,44.819
542.5,38.289,64.132,54.106,44.33
545.5,38.289,64.132,54.106,45.797
548.5,38.289,64.132,54.106,44.819
551.5,38.289,64.132,54.106,44.819
554.5,38.289,25,54.106,44.819
557.5,38.289,25,54.106,45.308
560.5,38.289,25,53.617,44.819
563.5,38.289,25,53.617,45.308
566.5,38.289,25,54.106,45.308
569.5,80,25,53.617,46.285
572.5,80,25,53.617,45.308
575.5,80,25,53.617,45.308
578.49,80,25,53.617,44.819
581.49,80,25,53.617,44.819
584.49,80,25,54.106,44.819
587.49,80,25,54.106,45.797
590.49,80,25,54.106,44.819
593.48,80,25,54.594,44.819
596.49,80,25,54.594,44.819
